address,baths,beds,city,days_on_market,lot_size,price,property_type,sold_date,square_feet,state,year_built,zipcode
608 Green Valley Dr,1.0,,Moody,,64469,165000,Single Family Residential,,3449,AL,1984,35004
120 Haynes Dr,,0,Moody,,15682,10000,Unknown,,,AL,,35004
6017 Kelly Creek Cir,2.0,3,Moody,168,696,191900,Single Family Residential,September-14-2018,1555,AL,2008,35004
1080 Kelly Creek Way,2.0,3,Moody,162,12632,177200,Single Family Residential,September-20-2018,1543,AL,2006,35004
2530 Joey Adkins Dr,1.0,,Moody,,4356,141000,Single Family Residential,,1247,AL,2004,35004
1025 Hickory St,3.0,4,Moody,161,10454,195000,Single Family Residential,September-21-2018,2100,AL,2017,35004
0 Lake Joyce Rd Unit 10-18,,,Moody,164,261360,50000,Vacant Land,September-18-2018,,AL,,35004
2040 Tudor Ln,1.0,,Moody,,4356,141355,Single Family Residential,,1604,AL,2004,35004
3943 Valley Bend Dr,2.5,3,Moody,126,28314,227900,Single Family Residential,October-26-2018,3549,AL,1973,35004
4035 Verbena Dr,3.5,4,Moody,114,15681,253000,Single Family Residential,November-7-2018,2310,AL,2017,35004
90 Acton Loop,2.0,3,Moody,121,50529,125100,Single Family Residential,October-31-2018,1238,AL,2006,35004
2016 Plantation Pkwy,1.0,,Moody,,6098,149000,Single Family Residential,,1413,AL,1997,35004
1025 Hickory St,1.0,,Moody,,10454,195468,Single Family Residential,,1232,AL,2017,35004
1212 Glenstone Pl,2.0,3,Moody,165,6534,192000,Single Family Residential,September-17-2018,2049,AL,2005,35004
2073 Edgewood Dr,2.0,3,Moody,115,5662,160000,Single Family Residential,November-6-2018,1968,AL,2008,35004
4067 Verbena Dr,2.5,3,Moody,119,12632,205000,Single Family Residential,November-2-2018,1512,AL,2012,35004
3330 Highfield Dr,2.5,,Moody,,126324,428200,Single Family Residential,,3034,AL,1992,35004
2838 Shirley Dr,2.0,3,Moody,119,17424,128000,Single Family Residential,November-2-2018,1100,AL,2001,35004
1248 Glenstone Pl,2.0,3,Moody,121,6098,158850,Single Family Residential,October-31-2018,1472,AL,2006,35004
1066 Ivy Pl,2.0,3,Moody,107,,179000,Single Family Residential,November-14-2018,1920,AL,2005,35004
1161 Alden Glen Dr,2.5,3,Moody,127,6098,195000,Single Family Residential,October-25-2018,1857,AL,2008,35004
2425 Folsom St,1.0,,Moody,,6534,100000,Single Family Residential,,1839,AL,2011,35004
1032 Oak Blvd,,,Moody,,,10000,Single Family Residential,,1008,AL,1981,35004
2429 Blueberry Dr,3.0,4,Moody,87,23086,233150,Single Family Residential,December-4-2018,2088,AL,2018,35004
1141 Windsor Pkwy,2.0,3,Moody,105,4356,154920,Single Family Residential,November-16-2018,1329,AL,2004,35004
2101 Kings Ct,2.0,2,Moody,77,,115000,Townhouse,December-14-2018,1039,AL,2004,35004
1108 St Clair Rd,1.0,,Moody,,23087,50000,Single Family Residential,,1572,AL,1974,35004
1155 Windsor Pkwy,2.0,3,Moody,35,4356,160000,Single Family Residential,January-25-2019,1327,AL,2002,35004
2024 Spaulding Pl,2.0,3,Moody,155,4356,144900,Single Family Residential,September-27-2018,1438,AL,2004,35004
3030 Whites Chapel Pkwy,2.0,3,Moody,63,43560,136000,Single Family Residential,December-28-2018,1428,AL,1996,35004
3113 Vintage Way,2.0,3,Moody,94,4356,176900,Single Family Residential,November-27-2018,1662,AL,2005,35004
3317 Highfield Dr,3.0,4,Moody,79,100187,400000,Single Family Residential,December-12-2018,3408,AL,1993,35004
2304 Blueridge Dr,1.0,,Leeds,,13068,129896,Single Family Residential,,1300,AL,1978,35094
2216 Castle Hill Ln,1.0,,Moody,,2614,108400,Townhouse,,1039,AL,2004,35004
1125 Alden Glen Dr,1.5,,Moody,,4356,164000,Single Family Residential,,1691,AL,2005,35004
Creel Dr,,,Moody,,17860,6000,Unknown,,,AL,,35004
3309 Highfield Dr,6.0,6,Moody,32,100187,510000,Single Family Residential,January-28-2019,5377,AL,2001,35004
3430 Acton Rd,3.5,4,Moody,21,117612,417413,Single Family Residential,February-8-2019,2700,AL,2019,35004
3414 Acton Rd #11,,,Moody,15,65340,20000,Vacant Land,February-14-2019,,AL,,35004
2300 Spaulding Pl,1.0,,Moody,,,114000,Single Family Residential,,1406,AL,2005,35004
2200 BLUE RIDGE DR,,,MOODY,,35284,2300000,Unknown,,,AL,,35004
2420 Folsom St,2.0,4,Moody,53,6098,182500,Single Family Residential,January-7-2019,1839,AL,2011,35004
1192 Washington Dr,2.0,3,Moody,21,,157000,Single Family Residential,February-8-2019,1472,AL,2007,35004
2633 Ridgewood Ln,2.0,3,Moody,9,16988,103801,Single Family Residential,February-20-2019,1210,AL,1996,35004
1029 Windsor Pkwy,2.0,4,Moody,48,4356,176000,Single Family Residential,January-12-2019,2123,AL,2002,35004
905 Brooke Ter,2.0,4,Moody,7,,218438,Single Family Residential,February-22-2019,1631,AL,,35004
904 Brooke Ter,2.0,4,Moody,7,,219510,Single Family Residential,February-22-2019,1631,AL,,35004
3915 Valley Bend Dr,2.0,3,Moody,7,20908,198000,Single Family Residential,February-22-2019,1844,AL,1976,35004
906 Brooke Ter,2.0,4,Moody,28,,204900,Single Family Residential,February-1-2019,1631,AL,,35004
3422 Moody Pkwy,1.5,,Moody,,1176120,675000,Single Family Residential,,3205,AL,1974,35004
903 Brooke Ter,2.0,4,Moody,7,,219510,Single Family Residential,February-22-2019,1631,AL,,35004
902 Brooke Ter,2.0,4,Moody,7,,219510,Single Family Residential,February-22-2019,1631,AL,,35004
1045 Lexington Dr,2.0,4,Moody,151,5662,187000,Single Family Residential,October-1-2018,1871,AL,2007,35004
3093 Vintage Way,2.0,3,Moody,161,8712,180000,Single Family Residential,September-21-2018,1683,AL,2005,35004
3008 Canterbury Dr,2.5,3,Moody,81,13068,127500,Single Family Residential,December-10-2018,1656,AL,1992,35004
2519 Carl Jones Rd,1.0,,Moody,,65340,240400,Single Family Residential,,1344,AL,1987,35004
2429 Blueberry Dr,1.0,,Leeds,,21780,233150,Single Family Residential,,2040,AL,1977,35094
3401 Acton Rd,,,Moody,,52272,359905,Single Family Residential,,,AL,,35004
2211 Castle Hill Ln,2.5,3,Moody,63,,130500,Townhouse,December-28-2018,1341,AL,2005,35004
7355 Old Acton Rd,2.5,3,Moody,91,26571,152000,Single Family Residential,November-30-2018,1848,AL,2006,35004
2312 Chadwick Dr,2.0,4,Moody,70,6098,193000,Single Family Residential,December-21-2018,1839,AL,2011,35125
2253 Rushton Ln,2.0,3,Moody,78,,160000,Single Family Residential,December-13-2018,1294,AL,2005,35004
1139 Alden Glen Dr,2.0,3,Moody,35,4791,185000,Single Family Residential,January-25-2019,1565,AL,2011,35004
2060 Tudor Ln,2.0,3,Moody,29,4356,180000,Single Family Residential,January-31-2019,1805,AL,2005,35004
1132 Avalon Dr,2.0,3,Moody,28,,169900,Single Family Residential,February-1-2019,1472,AL,2005,35004
1107 Oak Blvd,1.0,,Moody,,17424,115000,Single Family Residential,,1305,AL,1991,35004
1103 Poplar Cir,3.0,4,Moody,1,,205000,Single Family Residential,February-28-2019,2062,AL,2005,35004
5025 Kelly Creek St,2.5,3,Moody,140,6098,195000,Single Family Residential,October-12-2018,1888,AL,2010,35004
2210 Carl Jones Rd,2.0,,Moody,,239580,106355,Single Family Residential,,3542,AL,1963,35004
1048 Windsor Pkwy,2.0,3,Moody,113,4356,158000,Single Family Residential,November-8-2018,1480,AL,2003,35004
7008 Lavender Ct,2.0,3,Moody,112,10454,223000,Single Family Residential,November-9-2018,1680,AL,2015,35004
2244 Rushton Ln,2.5,3,Moody,15,4356,195000,Single Family Residential,February-14-2019,1749,AL,2006,35004
